Inter_ID,fitted_a,scale_adjust_factor,scaled_a,fitted_h,fitted_w
1,1.3802740092463226,223.9765214365974,309.1489712203372,0.10481791832366492,163.08657576972487
2,0.5263574622612893,2093.811283534556,1102.0931936553018,0.0093417609444515,446.8387696535178
3,0.2763011070164193,160.0,44.20817712262709,0.035353419455837407,11.420617325056565
4,0.1815219292056263,106.8,19.386542039160886,0.12172544096889418,105.41557181899377
5,0.1660017675823347,213.6,35.457977555586695,0.1553120154531903,97.09636087938256
6,0.20957027573776438,1900.2375296912114,398.2333030646354,0.004581055110936698,1004.3585723218897
7,0.2465959921286528,1904.7619047619048,469.7066516736244,0.005086466685111632,1044.0268603907698
8,0.21828607596150665,1904.7619047619048,415.78300183144125,0.006940539490933006,785.706649503799
9,0.15208506262514396,1904.7619047619048,289.6858335717028,0.015798057383414794,955.2130363810711
10,1.7639984764192589,11.926268815881935,21.037920020582252,0.0361197822384853,22.870585345523182
11,3.084894995936473,13.052847859687725,40.266665045070766,0.08771307204819874,63.29562030942532
12,0.34019938704366753,6484.630775958166,2206.06741518547,0.029383154854857416,3315.3671759609856
13,0.1541886711273699,3915.38102609548,603.7073973709801,0.04512251992894492,4772.028601175343
14,0.43482919492405697,313.1828103498218,136.18102928846665,0.0003610183757471302,461.94467735024045
15,0.09678173632971027,326.4417845484222,31.593602719165485,5.791508097180408e-7,0.00033155332631917356
16,0.2688780919520041,172043.01075268816,46258.596464860915,0.0054379446939084135,4397.780473424863
17,0.2371852211271425,172043.01075268816,40806.05954875569,0.001958090281817697,6036.343173532683
18,0.29191826125229065,309677.41935483867,90400.49380716096,0.002299647122991588,853.1971656773026
19,0.6060299821413387,361290.32258064515,218952.7677413869,0.004911669406329725,1089.3656486556815
20,0.18524988165593523,215.39745670969555,39.90235336446053,0.07230678406625059,372.20374252069377
21,2.3518834580247727,211.12272770442937,496.5360509011158,0.38550274791464967,230.82810108428458
22,0.576861464324312,1178.6592750921602,679.9231153690956,0.059451214161823675,61.04779708197692
23,0.24836834018522352,431.83621958274415,107.25444508962788,0.04085206758059011,102.31051475102196
24,0.06095560812159116,765.3928168388899,46.65498460231217,0.02490004511231611,46.45859557714505
25,0.18685324552978874,27246.23863979416,5091.048118324676,0.05295016165281153,20516.37695489666
26,0.2743717170600086,1.0073949661800247e6,276400.6866284227,0.0016504809476588648,257.7902067488721
27,2.0764211365133,3.5795795795795796e6,7.432714698870432e6,1.2065999946870372,8.395928102270742e7
28,0.7446278640741638,113.22146426969414,84.3078571064916,0.011488379672369452,9.972339896944925
29,0.5412944998318293,12435.845425770041,6731.454729728137,0.020155155447162388,4411.530187415812
30,4.215843695420127,1242.2229108297117,5237.017626927879,0.15881625606410538,4556.848075018767
31,0.22574504405114884,216216.2162162162,48809.739254302454,0.00041049698551939336,1591.0616918801072
32,0.12646328884487745,216216.2162162162,27343.413804297827,0.0003542152323753942,352.1603052436765
33,0.8379091512403831,1045.8015267175572,876.2866696178052,0.08896060567587726,253.6226859361632
34,0.7882631374649408,1201.0178117048345,946.7180684057304,0.018313561075690443,195.45096176340002
35,0.41836456768332353,15.441696113074206,6.460258518643547,0.007917699941968547,0.054301817980047795
36,0.02590721920690169,1350.7565337001377,34.99434561372416,0.0001578821721685333,0.026543720494476494
37,1.9208303251126249,159.50413223140498,306.3803741708567,0.029314937885529718,18.5974357555701
38,NaN,NaN,NaN,NaN,NaN
39,0.9063957827003117,353.44827586206895,320.3640266440757,0.1835605486977401,228.61295117411956
40,1.3120581871815606,372.9729729729729,489.36224278663605,0.2314595118475856,218.69766015918134
41,0.852966067998398,343.44023323615164,292.942865335893,0.16991359609653137,179.88711748197724
42,0.8348326026596493,345.6140350877193,288.5298644279841,0.18478459146211335,175.18917144684698
43,0.5922409015794156,575.0,340.53851840816395,0.05969484659700314,797.267844967428
