"Inter_ID","fitted_a","scale_adjust_factor","scaled_a","fitted_h","fitted_w","FoRAGE_ID","Dim","Num_Pred","Pred_or_Para","Habitat","Pred_Vert_Invert","Pred_group_1","Pred_mass","Pred_mass_ID","Prey_Vert_Invert","Prey_group_1","Prey_mass","Prey_mass_ID","2D_Arena_size","3D_Arena_size","2.5D_Arena_size","Arena_size_general"
29,0.541294499831829,12435.84542577,6731.45472972814,0.0201551554471624,4411.53018741581,2438,2,1,"Predator","Aquatic","Invertebrate","Crustacean",64200,1,"Invertebrate","Mollusk",1100,2,6080,NA,NA,6080
30,4.21584369542013,1242.22291082971,5237.01762692788,0.158816256064105,4556.84807501877,598,2,8,"Predator","Aquatic","Invertebrate","Crustacean",10.4,3,"Invertebrate","Crustacean",1.03,NA,3850,NA,NA,3850
31,0.225745044051149,216216.216216216,48809.7392543025,0.000410496985519393,1591.06169188011,3055,3,1,"Predator","Aquatic","Vertebrate","Fish",11200,2,"Invertebrate","Insect",3.5,5,NA,9000,NA,9000
32,0.126463288844877,216216.216216216,27343.4138042978,0.000354215232375394,352.160305243676,3056,3,1,"Predator","Aquatic","Vertebrate","Fish",20900,6,"Invertebrate","Insect",3.5,5,NA,9000,NA,9000
33,0.837909151240383,1045.80152671756,876.286669617805,0.0889606056758773,253.622685936163,2168,2,1,"Predator","Terrestrial","Invertebrate","Insect",0.0181,3,"Invertebrate","Insect",0.00116,2,254,NA,NA,254
34,0.788263137464941,1201.01781170483,946.71806840573,0.0183135610756904,195.4509617634,2172,2,1,"Predator","Terrestrial","Invertebrate","Insect",2.09,4,"Invertebrate","Insect",0.00116,2,254,NA,NA,254
35,0.418364567683324,15.4416961130742,6.46025851864355,0.00791769994196855,0.0543018179800478,2659,2,1,"Predator","Terrestrial","Invertebrate","Insect",0.0613,1,"Invertebrate","Insect",0.00211,2,7.07,NA,NA,7.07
36,0.0259072192069017,1350.75653370014,34.9943456137242,0.000157882172168533,0.0265437204944765,880,3,1,"Predator","Aquatic","Invertebrate","Crustacean",0.0376,1,"Invertebrate","Rotifer",2e-04,1,NA,2.75,NA,2.75
37,1.92083032511262,159.504132231405,306.380374170857,0.0293149378855297,18.5974357555701,1601,2,1,"Predator","Terrestrial","Invertebrate","Arachnid",250,1,"Invertebrate","Insect",43,4,70.9,NA,NA,70.9
38,NA,NA,NA,NA,NA,2239,2.5,2,"Predator","Aquatic","Vertebrate","Fish",301000,NA,"Vertebrate","Fish",NA,NA,6e+05,NA,16698946.1022824,16698946.1022824
39,0.906395782700312,353.448275862069,320.364026644076,0.18356054869774,228.61295117412,1681,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",22.5,1,177,NA,NA,177
40,1.31205818718156,372.972972972973,489.362242786636,0.231459511847586,218.697660159181,1684,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",30,2,177,NA,NA,177
41,0.852966067998398,343.440233236152,292.942865335893,0.169913596096531,179.887117481977,1687,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",12.5,4,177,NA,NA,177
42,0.834832602659649,345.614035087719,288.529864427984,0.184784591462113,175.189171446847,1690,2,1,"Parasitoid","Terrestrial","Invertebrate","Insect",1.06,NA,"Invertebrate","Insect",17.5,5,177,NA,NA,177
43,0.592240901579416,575,340.538518408164,0.0596948465970031,797.267844967428,677,3,1,"Predator","Aquatic","Invertebrate","Crustacean",0.0663,1,"Vertebrate","Fish",3.91,6,NA,500,NA,500
