"Inter_ID","fitted_a","scale_adjust_factor","scaled_a","fitted_h","fitted_w","FoRAGE_ID","Dim","Num_Pred","Pred_or_Para","Habitat","Pred_Vert_Invert","Pred_group_1","Pred_mass","Pred_mass_ID","Prey_Vert_Invert","Prey_group_1","Prey_mass","Prey_mass_ID","X2D_Arena_size","X3D_Arena_size","X2.5D_Arena_size","Arena_size_general","PreyAbundanceGroup","PredAbundanceGroup","PreyMass_g","PredMass_g","PreyAbundance_50","PredAbundance_50","C_R_5","C_R_25","C_R_50","C_R_75","C_R_95","wC_ahR_5","wC_ahR_25","wC_ahR_50","wC_ahR_75","wC_ahR_95"
1,1.38027400924632,223.976521436597,309.148971220337,0.104817918323665,163.086575769725,1700,2.5,1,"Parasitoid","Terrestrial","Invertebrate","Insect",0.125,NA,"Invertebrate","Insect",0.625,1,NA,157,67.5952808785752,67.5952808785752,"invertebrate","invertebrate",0.000625,0.000125,513.316568656417,1330.82719874434,0.00714184022865183,0.251760999338967,2.80703614008484,28.2751946790147,740.838062193312,0.0359438692581331,1.2670778170038,14.1273971016638,142.305103117551,3728.5344837814
2,0.526357462261289,2093.81128353456,1102.0931936553,0.0093417609444515,446.838769653518,140,2,1,"Predator","Aquatic","Invertebrate","Insect",3.65,2,"Invertebrate","Insect",0.12,1,322,NA,NA,322,"invertebrate","invertebrate",0.00012,0.00365,1291.05350487737,163.147746308888,0.000418963565441774,0.0118915326943629,0.128022986690911,1.42461734287177,47.5813142964762,0.0181831122253642,0.516107945966621,5.55637026895976,61.8303902473582,2065.09556384315
3,0.276301107016419,160,44.2081771226271,0.0353534194558374,11.4206173250566,3204,3,1,"Predator","Aquatic","Invertebrate","Crustacean",0.234,3,"Invertebrate","Insect",0.207,14,NA,20,NA,20,"invertebrate","invertebrate",0.000207,0.000234,964.045914253924,879.463017149053,0.00299441317917092,0.0788949055517216,0.890535809247226,10.2743046993725,359.439527800997,0.0218810006092784,0.57650675096887,6.50739112608412,75.0771685279691,2626.52397873149
4,0.181521929205626,106.8,19.3865420391609,0.121725440968894,105.415571818994,2355,3,1,"Predator","Aquatic","Invertebrate","Crustacean",3.87,1,"Invertebrate","Crustacean",0.353,16,NA,40,NA,40,"invertebrate","invertebrate",0.000353,0.00387,696.401515952831,154.103371563357,0.00081585332771172,0.0204442701246718,0.233042724378756,2.46886532766764,83.8326531268877,0.0364435285539692,0.91325668546368,10.4101821596178,110.285883763261,3744.85774211752
5,0.166001767582335,213.6,35.4579775555867,0.15531201545319,97.0963608793826,2356,3,1,"Predator","Aquatic","Invertebrate","Crustacean",3.87,1,"Invertebrate","Crustacean",0.353,16,NA,80,NA,80,"invertebrate","invertebrate",0.000353,0.00387,755.449587810916,158.500416894665,0.000665736032865242,0.0196391077941681,0.241147672674992,2.45034288796048,69.0472341996113,0.0117377163142569,0.34626193819068,4.25173209059798,43.2026891396834,1217.39115808243
6,0.209570275737764,1900.23752969121,398.233303064635,0.0045810551109367,1004.35857232189,3187,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",0.02,10,NA,950,NA,950,"invertebrate","invertebrate",2e-05,0.052,4101.97750265346,33.2653037935213,2.25259041790743e-05,0.000702728499337891,0.00813145963892953,0.0861985289489963,2.46368538715656,0.012387107579608,0.386869807749033,4.47664619159916,47.4553699986046,1356.34714333226
7,0.246595992128653,1904.7619047619,469.706651673624,0.00508646668511163,1044.02686039077,3188,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",0.12,11,NA,950,NA,950,"invertebrate","invertebrate",0.00012,0.052,1353.00267442864,35.8226190991246,8.28069808579433e-05,0.00235871307219547,0.0246090524047459,0.290711228386654,9.03044858127956,0.0361855393140432,1.0306751865289,10.7537698100247,127.036917796668,3946.18930674594
8,0.218286075961507,1904.7619047619,415.783001831441,0.00694053949093301,785.706649503799,3189,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",1.4,12,NA,950,NA,950,"invertebrate","invertebrate",0.0014,0.052,280.680681752414,33.667648279486,0.000377716302441112,0.0107758533081821,0.116080240532793,1.26812373260921,40.3715959171918,0.102811022489063,2.93390300427248,31.6050383765237,345.272485796912,10991.9892758202
9,0.152085062625144,1904.7619047619,289.685833571703,0.0157980573834148,955.213036381071,3190,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",4.8,13,NA,950,NA,950,"invertebrate","invertebrate",0.0048,0.052,141.072566598972,34.0655187826255,0.000665793249919095,0.0219971291359152,0.244632430754267,2.41627258200612,79.674932353351,0.138858017909603,4.59075263806872,51.0564635913973,504.329354546796,16629.9511188094
10,1.76399847641926,11.9262688158819,21.0379200205823,0.0361197822384853,22.8705853455232,2235,2,5,"Predator","Terrestrial","Invertebrate","Insect",3.6,NA,"Invertebrate","Insect",0.138,1,28.3,NA,NA,28.3,"invertebrate","invertebrate",0.000138,0.0036,1325.26228650433,187.653182603907,0.000353876479359845,0.012493931468986,0.126570129193557,1.42209672090023,42.1612555247697,0.0106507696791024,0.376034207181373,3.80941755308765,42.8010879851024,1268.94522040942
